UnitNo,Region,RegionCode,NonUtcBU,NonUtcBUCode,BU,BUCode,LocationCode,ProductLine,SAMClassCode,SAMClass,RevenueStatus,Make,Model,ModelYear,EngineModel,VIN,OdometerMiles,TermOutDate,NBV,BookLife,Age,CustomerNo,CustomerName,RatedMargin12Mo,ActualMargin12Mo,RatedMiles12Mo,ActualMiles12Mo,FinalMVAType,MVATurnInDate,MVAFinalApproval,MVAApprovalDate,EndBillDate,AccountingStatus,OSECondition,OSEStatus,DispConditionCode,DepositDate,DepositStatus,LTDMargin,LTDMiles,Modified,Created,Action,UTCAcceptedDate,UTCAcceptedLoc,DeprAmount,UTCAcceptedPL,OSCost,DeId,GoNoGo,IsRR
32416,CENTRAL BILLING RGN,3400,CBU RVS PREPAID MAIN,3200,CBU RVS PREPAID MAIN,3200,780,RPM,175,Unidentifiable Tractor,NULL,FRTL,CASCADIA                      ,2012,NULL,1FUJGLDR0CSBF3522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,0,NULL,00:13.2,40:49.2,U,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100011,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2018,NULL,1FVHCYFE1JHJP0452,0,NULL,0,0,8,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100058,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVACWDT3HHJB2128,0,NULL,0,0,8,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,-8000,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100135,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVACWDT2HHJB2069,0,NULL,0,0,12,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,-2900,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100341,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2015,NULL,1FVHCYCYXFHGJ9359,0,NULL,0,0,8,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100664,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVHCYCY1HHJB2247,0,NULL,0,0,12,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100765,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVHCYCY7HHJB2012,62174,NULL,0,0,12,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,-7600,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100780,RVS INTRNL FLEET VS,5349,UTC WEST REGION,3402,RVS UTC WEST FLEET,3408,3408,OFFL,125,Unidentifiable Truck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,00:07.8,00:47.4,U,00:00.0,1579,0,NULL,NULL,NULL,NULL,NULL
100864,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVACWDT6HHJB2169,0,NULL,0,0,8,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100876,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,140,T/A Tractor,NYE    ,FRTL,UNKNOWN                       ,2014,NULL,3AKJGEDV7ESFJ6087,0,NULL,0,0,11,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100958,FMS EAST REGION,3450,NJ PENN CBU,3276,NJ PENN CBU,3276,618,RPM,170,T/A Conv Sleeper Tractor,NYE    ,FRTL,CASCADIA 125                  ,2015,DD15'10 14.8 505/180,3AKJGLD5XFSFK4478,0,NULL,0,0,56,69852,AMHERST LOGISTIC INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:23.6,26:23.4,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100976,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NLE    ,ISUZ,UNKNOWN                       ,2018,NULL,54DK6S169JSG01403,36217,NULL,0,0,11,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,2300,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100983,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NLE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVHCYCY6HHHY8233,0,NULL,0,0,12,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100986,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,ISUZ,UNKNOWN                       ,2018,NULL,54DK6S160JSG01256,0,NULL,0,0,11,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
100999,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVACWDT6HHJB2155,0,NULL,0,0,8,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
101153,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NYE    ,ISUZ,UNKNOWN                       ,2018,NULL,54DK6S16XJSG01457,34626,NULL,0,0,11,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,1600,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
101178,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,125,Unidentifiable Truck,NLE    ,FRTL,UNKNOWN                       ,2017,NULL,1FVACWDT0HHJB2054,0,NULL,0,0,12,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
101183,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,140,T/A Tractor,NYE    ,FRTL,UNKNOWN                       ,2011,NULL,1FUJGEDR4BSAV3230,346348,NULL,0,0,12,56292,LOWE'S COMPANIES INC,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,-30700,NULL,00:06.9,00:58.9,U,NULL,NULL,0,NULL,NULL,NULL,No Go,NULL
