vehicle_grp,class,age_acpt,proceeds,age_sale,age_sale_grp,cond_code,days_on_lot,Ask,Take,Proceed_Over_Ask,Proceed_Over_Take,LOCATION_CODE__c,y
TRUCK,60,76,7700,91,091 - 096,10,465,30059,27059,0.25616288,0.284563362,2785,1
TRAILER,200,125,13500,125,121 - 126,50,0,13537,12537,0.99726675,1.076812635,3280,0
TRUCK,50,70,18905,73,073 - 078,10,92,28147,25147,0.671652396,0.751779536,2756,0
TRUCK,10,92,1000,92,091 - 096,30,7,10961,8961,0.091232552,0.111594688,2686,0
TRACTOR,140,87,24495,95,091 - 096,10,244,36551,33551,0.670159503,0.730082561,3403,0
TRUCK,90,86,42655,90,085 - 090,10,126,53145,50145,0.802615486,0.850633164,2725,0
TRUCK,90,76,22500,82,079 - 084,10,182,36404,33404,0.618063949,0.673572027,2408,1
TRUCK,60,99,18405,100,097 - 102,50,48,22121,21121,0.832014828,0.871407604,2380,0
TRACTOR,140,102,21800,109,109 - 114,10,185,29197,26197,0.746652053,0.832156354,2682,0
TRAILER,200,87,25080,90,085 - 090,10,106,29000,27000,0.864827586,0.928888889,3172,0
TRUCK,80,83,23600,88,085 - 090,10,134,33388,30388,0.706840781,0.776622351,2382,0
TRACTOR,140,76,30608,90,085 - 090,10,441,39608,36608,0.772773177,0.836101399,2566,0
TRUCK,90,89,11135,98,097 - 102,10,284,34344,31344,0.32421966,0.355251404,2785,1
TRACTOR,140,127,7000,140,139 - 144,30,385,19348,18348,0.361794501,0.381512971,3403,0
TRUCK,80,71,33500,76,073 - 078,10,140,38637,35637,0.867044543,0.940034234,2709,0
TRAILER,180,117,3000,118,115 - 120,30,60,10765,9765,0.27868091,0.307219662,2756,0
TRAILER,200,127,16000,127,127 - 132,50,14,21900,20900,0.730593607,0.765550239,3227,0
TRUCK,70,99,25000,105,103 - 108,10,190,31045,29045,0.805282654,0.860733345,3299,0
TRUCK,60,98,16300,104,103 - 108,10,181,29798,29798,0.547016578,0.547016578,2386,0
TRUCK,30,68,4000,68,067 - 072,30,14,26990,25990,0.148203038,0.153905348,2619,0
TRACTOR,170,40,30000,47,043 - 048,10,182,54245,49245,0.553046364,0.609198903,2785,1
TRACTOR,170,60,38900,69,067 - 072,10,273,45565,42565,0.853725447,0.913896394,2771,0
TRUCK,70,65,11300,70,067 - 072,50,153,34210,33210,0.330312774,0.340258958,2785,1
TRACTOR,140,60,11000,73,073 - 078,10,423,30097,29097,0.365484932,0.378045847,2619,1
TRUCK,60,52,29000,54,049 - 054,50,78,38365,35365,0.755897302,0.820019794,3227,0
TRACTOR,140,58,28750,64,061 - 066,10,196,47297,44297,0.607860964,0.649028151,2785,1
TRACTOR,170,63,36000,70,067 - 072,10,201,57067,54067,0.630837437,0.665840531,3408,1
TRACTOR,140,53,22000,60,055 - 060,50,211,41906,38906,0.524984489,0.565465481,2785,1
TRUCK,60,123,34845,125,121 - 126,10,87,36352,33352,0.958544234,1.044764932,3172,0
TRAILER,180,127,7995,136,133 - 138,50,265,10295,9295,0.776590578,0.86013986,2567,0
TRUCK,50,74,11200,84,079 - 084,10,332,32723,31723,0.342266907,0.353056142,2785,1
TRAILER,200,135,7850,137,133 - 138,50,64,8605,7605,0.912260314,1.032215648,2405,0
TRACTOR,170,90,23491,92,091 - 096,10,63,26491,23491,0.886753992,1,3274,0
TRUCK,60,82,25405,86,085 - 090,10,133,28554,27554,0.889717728,0.922007694,3227,0
TRUCK,30,144,11500,144,139 - 144,10,4,12019,10019,0.956818371,1.147819144,2344,0
TRUCK,30,81,14945,86,085 - 090,10,168,22057,21057,0.677562679,0.709740229,2709,0
TRUCK,30,89,13700,94,091 - 096,10,134,20496,19496,0.668423107,0.702708248,2686,0
TRUCK,30,72,13250,82,079 - 084,10,283,25019,23019,0.529597506,0.575611451,3408,1
TRACTOR,130,96,15000,103,103 - 108,10,207,28500,26500,0.52631579,0.566037736,2785,1
TRACTOR,130,128,18000,131,127 - 132,10,67,28500,26500,0.631578947,0.679245283,1328,0
TRUCK,60,104,6000,106,103 - 108,30,55,32282,29282,0.18586209,0.204904037,2785,1
TRACTOR,140,108,26026,109,109 - 114,50,30,38478,35478,0.676386507,0.733581374,2380,0
TRACTOR,130,116,16156,117,115 - 120,50,36,23258,21258,0.694642704,0.759996237,2566,0
TRACTOR,140,67,19994,69,067 - 072,50,64,22995,19995,0.869493368,0.999949988,2768,0
TRUCK,21,88,6250,99,097 - 102,10,334,16702,14702,0.374206682,0.42511223,2682,0
TRACTOR,140,68,31500,71,067 - 072,10,98,36676,33676,0.858872287,0.93538425,2444,0
TRACTOR,130,92,11999,93,091 - 096,50,14,27202,26202,0.441107272,0.457942142,2438,0
TRUCK,60,80,14100,88,085 - 090,10,263,32692,29692,0.431298177,0.474875387,2785,1
TRUCK,50,76,13495,90,085 - 090,50,401,21190,18190,0.636857008,0.741891149,3227,0
TRUCK,50,88,10200,94,091 - 096,50,184,21147,20147,0.48233792,0.50627885,3408,1
TRAILER,180,108,5000,108,103 - 108,30,3,6555,5555,0.762776507,0.900090009,2768,0
TRACTOR,170,86,16000,87,085 - 090,10,35,23225,20225,0.68891281,0.791100124,3289,0
TRAILER,200,124,10000,124,121 - 126,30,3,12243,11243,0.81679327,0.88944232,2381,0
TRACTOR,140,98,35547,99,097 - 102,10,53,37547,34547,0.946733427,1.028946074,1328,0
TRAILER,200,129,7995,138,133 - 138,10,283,10750,9750,0.74372093,0.82,2686,0
TRACTOR,140,124,36770,124,121 - 126,10,3,41654,38654,0.882748356,0.951259896,2483,0
TRACTOR,170,72,33500,72,067 - 072,10,0,38849,35849,0.862313058,0.93447516,2389,0
TRUCK,70,77,15000,81,079 - 084,50,119,22500,19500,0.666666667,0.769230769,3227,0
TRUCK,10,113,8405,117,115 - 120,10,125,10700,8700,0.785514019,0.966091954,2344,0
TRACTOR,132,77,19500,85,085 - 090,10,256,30740,27740,0.634352635,0.70295602,2443,0
TRACTOR,140,83,23405,84,079 - 084,50,32,32941,29941,0.710512735,0.781704018,2682,0
TRACTOR,130,128,18800,129,127 - 132,10,31,25500,23500,0.737254902,0.8,2768,0
TRACTOR,130,122,17500,126,121 - 126,10,129,24500,22500,0.714285714,0.777777778,2750,0
TRACTOR,140,68,22750,74,073 - 078,10,195,39552,36552,0.575192152,0.622400963,2408,1
TRUCK,60,117,17500,117,115 - 120,10,9,21376,18376,0.81867515,0.952329125,3196,0
TRAILER,200,100,15200,103,103 - 108,10,84,22665,21665,0.670637547,0.70159243,2444,0
TRAILER,200,131,4150,139,139 - 144,50,264,12600,11600,0.329365079,0.357758621,2389,0
TRACTOR,130,101,27900,102,097 - 102,10,43,34000,31000,0.820588235,0.9,2754,0
TRACTOR,170,68,23750,76,073 - 078,10,247,43250,40250,0.549132948,0.590062112,2619,1
TRAILER,200,117,2500,119,115 - 120,30,55,14475,13475,0.172711572,0.185528757,2443,0
TRUCK,50,88,9950,95,091 - 096,50,223,21671,20671,0.459138941,0.481350685,2785,1
TRACTOR,140,81,8000,82,079 - 084,30,22,24693,21693,0.323978455,0.368782557,3408,1
TRUCK,50,72,29600,78,073 - 078,10,171,35744,32744,0.828111012,0.903982409,3280,0
TRACTOR,140,86,15000,96,091 - 096,10,316,33155,32155,0.452420449,0.466490437,2785,1
TRACTOR,170,95,23500,96,091 - 096,50,26,31087,25087,0.755942999,0.936740144,3274,0
TRUCK,70,86,22000,91,091 - 096,10,170,29296,27296,0.750955762,0.805978898,3123,0
TRUCK,60,66,23000,73,073 - 078,10,219,31966,28966,0.719514484,0.794034385,2566,0
TRUCK,50,95,23750,98,097 - 102,10,82,26500,23500,0.896226415,1.010638298,2446,0
TRAILER,180,139,6000,148,145 - 150,50,272,7545,6545,0.795228628,0.916730329,2495,0
TRUCK,100,101,14300,107,103 - 108,10,183,34239,31239,0.417652385,0.457761132,2785,1
TRUCK,21,85,18495,92,091 - 096,10,233,24744,22744,0.747453928,0.813181498,2754,0
TRUCK,70,86,14600,93,091 - 096,50,211,31067,28067,0.469952039,0.520183846,2785,1
TRUCK,60,99,30000,101,097 - 102,10,51,32916,29916,0.911410864,1.002807862,2446,0
TRACTOR,130,104,10995,112,109 - 114,10,261,18000,15000,0.610833333,0.733,2566,0
TRUCK,110,110,20500,111,109 - 114,10,46,35041,32041,0.585028966,0.63980525,2725,0
TRAILER,180,148,3000,152,151 - 156,30,105,5997,4997,0.500250125,0.600360216,3284,0
TRAILER,200,137,11750,138,133 - 138,50,9,15875,14875,0.74015748,0.789915966,2382,0
TRACTOR,140,96,32250,101,097 - 102,10,159,41786,38786,0.771789595,0.831485588,2566,0
TRUCK,100,96,20800,106,103 - 108,10,315,36179,33179,0.574919152,0.626902559,2785,1
TRUCK,100,89,24000,96,091 - 096,10,218,32674,29674,0.734528983,0.808788839,2750,0
TRACTOR,150,82,27000,83,079 - 084,10,48,28280,25280,0.954738331,1.068037975,2686,0
TRACTOR,132,123,21798,129,127 - 132,50,185,24883,21883,0.876019773,0.996115706,2380,0
TRUCK,10,94,2000,100,097 - 102,30,168,5995,4995,0.333611343,0.4004004,2754,0
TRUCK,31,132,2500,136,133 - 138,30,127,15307,13307,0.163323969,0.187871045,2756,0
TRUCK,21,77,8200,82,079 - 084,50,166,19488,18488,0.420771757,0.443530939,2686,0
TRUCK,21,60,22800,64,061 - 066,10,119,25449,23449,0.895909466,0.972322914,2403,0
TRACTOR,140,116,20000,118,115 - 120,10,80,45788,42788,0.436795667,0.467420772,3408,1
TRUCK,21,86,16500,87,085 - 090,50,22,20000,19000,0.825,0.868421053,2495,0
TRACTOR,140,109,24700,118,115 - 120,10,281,31965,28965,0.772720163,0.852753323,2566,0
TRACTOR,132,98,26639,104,103 - 108,10,191,26299,23299,1.012928248,1.143353792,3196,0
